;ID;Text;Label;clean_tweets;Hashtags;tokens
10;612;"Top story: @KamalaHarris: 'Today I got the COVID-19 vaccine. I am incredibly grateful to our frontline health care workers, scientists, and researchers who made this moment possible. _x000D_
_x000D_
When you’re able to take the vacci… https://t.co/7klI5ZENJ0, see more https://t.co/2TRrpf9yfN";0;top story today got covid vaccine incredibly grateful frontline health care workers scientists researchers made moment possible x x able take vacci see;[];['top', 'story', 'today', 'got', 'covid', 'vaccine', 'incredibly', 'grateful', 'frontline', 'health', 'care', 'workers', 'scientists', 'researchers', 'made', 'moment', 'possible', 'x', 'x', 'able', 'take', 'vacci', 'see']
11;613;"Anyone who dies with 28 days of receiving an untested vaccine should have it recorded as a cause of death_x000D_
_x000D_
The news headline should read:_x000D_
_x000D_
 ""People dying after having a Covid 19 vaccine""_x000D_
_x000D_
Would that be a balanced bias?";1;anyone dies days receiving untested vaccine recorded cause death x x news headline read x x people dying covid vaccine x x would balanced bias;[];['anyone', 'dies', 'days', 'receiving', 'untested', 'vaccine', 'recorded', 'cause', 'death', 'x', 'x', 'news', 'headline', 'read', 'x', 'x', 'people', 'dying', 'covid', 'vaccine', 'x', 'x', 'would', 'balanced', 'bias']
12;726;.@ThomasMcElveen Force-injecting citizens with a fast-tracked, experimental, liability-free vaccine is unethical and unconstitutional. Medical mandates don't belong in a free society. Let each person choose how they care for their bodies. #nomandates #noforcedcovidvaccines;1;force injecting citizens fast tracked experimental liability free vaccine unethical unconstitutional medical mandates belong free society let person choose care bodies nomandates noforcedcovidvaccines;['#nomandates', '#noforcedcovidvaccines'];['force', 'injecting', 'citizens', 'fast', 'tracked', 'experimental', 'liability', 'free', 'vaccine', 'unethical', 'unconstitutional', 'medical', 'mandates', 'belong', 'free', 'society', 'let', 'person', 'choose', 'care', 'bodies', 'nomandates', 'noforcedcovidvaccines']
13;615;"Top story: @KamalaHarris: 'Today I got the COVID-19 vaccine. I am incredibly grateful to our frontline health care workers, scientists, and researchers who made this moment possible. _x000D_
_x000D_
When you’re able to take the vacci… https://t.co/8vKTqbKPOr, see more https://t.co/SwtIr9OQRj";0;top story today got covid vaccine incredibly grateful frontline health care workers scientists researchers made moment possible x x able take vacci see;[];['top', 'story', 'today', 'got', 'covid', 'vaccine', 'incredibly', 'grateful', 'frontline', 'health', 'care', 'workers', 'scientists', 'researchers', 'made', 'moment', 'possible', 'x', 'x', 'able', 'take', 'vacci', 'see']
14;616;"<U+0001F602><U+0001F602><U+0001F602> Team (cough<U+0001F922>) NDP panicking!! People are seeing through their fearmongering and agenda... _x000D_
_x000D_
They cant accept people dont want an untested vaccine or the side effects this ""vaccine"" produces on a 99.7% recovery. _x000D_
_x000D_
Perhaps they can suggest moving to HCQ? https://t.co/T5xAuFx2N3";1;u f u f u f team cough u f ndp panicking people seeing fearmongering agenda x x cant accept people dont want untested vaccine side effects vaccine produces recovery x x perhaps suggest moving hcq;[];['u', 'f', 'u', 'f', 'u', 'f', 'team', 'cough', 'u', 'f', 'ndp', 'panicking', 'people', 'seeing', 'fearmongering', 'agenda', 'x', 'x', 'cant', 'accept', 'people', 'dont', 'want', 'untested', 'vaccine', 'side', 'effects', 'vaccine', 'produces', 'recovery', 'x', 'x', 'perhaps', 'suggest', 'moving', 'hcq']
15;614;“Being that we are Pinellas County’s only Level 2 Trauma Center we are grateful to be among the first to receive the vaccine.” -  John Moore, president of Bayfront Health St. Petersburg. #COVID19 #vaccination clinic begins https://t.co/Ol02CwWcmZ #vaccine https://t.co/5vkVQ4NIjy;0;pinellas county level trauma center grateful among first receive vaccine john moore president bayfront health st petersburg covid vaccination clinic begins vaccine;['#COVID19', '#vaccination', '#vaccine'];['pinellas', 'county', 'level', 'trauma', 'center', 'grateful', 'among', 'first', 'receive', 'vaccine', 'john', 'moore', 'president', 'bayfront', 'health', 'st', 'petersburg', 'covid', 'vaccination', 'clinic', 'begins', 'vaccine']
16;618;"Thrilled to get my #CovidVaccine today @ConeyIslandHosp ! Everyday since March I worried I might bring COVID home to my family-so grateful for this vaccine to protect me &amp; them. I will still #MaskUp #SocialDistance ! #NYCVaxChamp #IGotTheShot #IDtwitter #MedTwitter @IDSAInfo https://t.co/uNgG9KvfcA";0;thrilled get covidvaccine today everyday since march worried might bring covid home family grateful vaccine protect amp still maskup socialdistance nycvaxchamp igottheshot idtwitter medtwitter;['#CovidVaccine', '#MaskUp', '#SocialDistance', '#NYCVaxChamp', '#IGotTheShot', '#IDtwitter', '#MedTwitter'];['thrilled', 'get', 'covidvaccine', 'today', 'everyday', 'since', 'march', 'worried', 'might', 'bring', 'covid', 'home', 'family', 'grateful', 'vaccine', 'protect', 'amp', 'still', 'maskup', 'socialdistance', 'nycvaxchamp', 'igottheshot', 'idtwitter', 'medtwitter']
17;829;"#CommunistChina aims to vaccinate 50 million people by February with an unproven vaccine. Good luck with that!_x000D_
https://t.co/uZDGbX5ExD_x000D_
#MadeInChina _x000D_
#ChinaVirus _x000D_
#COVID19";0;communistchina aims vaccinate million people february unproven vaccine good luck x madeinchina x chinavirus x covid;['#CommunistChina', '#MadeInChina', '#ChinaVirus', '#COVID19'];['communistchina', 'aims', 'vaccinate', 'million', 'people', 'february', 'unproven', 'vaccine', 'good', 'luck', 'x', 'madeinchina', 'x', 'chinavirus', 'x', 'covid']
18;620;Find someone who looks at you the way I looked at my SARS-CoV-2 vaccine. I am beyond grateful. Soon by you... https://t.co/xTJ6QyS9jv;0;find someone looks way looked sars cov vaccine beyond grateful soon;[];['find', 'someone', 'looks', 'way', 'looked', 'sars', 'cov', 'vaccine', 'beyond', 'grateful', 'soon']
19;621;I am grateful to be able to pass on antibodies to because it’s going to be awhile until children/ infants are eligible for the vaccine, and despite what Aunt Debbie says in facebook, young children can get covid and it can be very serious. I trust the science. 3/3 #igottheshot;0;grateful able pass antibodies going awhile children infants eligible vaccine despite aunt debbie says facebook young children get covid serious trust science igottheshot;['#igottheshot'];['grateful', 'able', 'pass', 'antibodies', 'going', 'awhile', 'children', 'infants', 'eligible', 'vaccine', 'despite', 'aunt', 'debbie', 'says', 'facebook', 'young', 'children', 'get', 'covid', 'serious', 'trust', 'science', 'igottheshot']
20;622;Entrepreneur Robert Kiyosaki Death Threatened If He Keeps Exposing The Covid Hoax And Vaccine Danger, Depopulation Agenda https://t.co/WkfPpvMlUz via @darrellhines;1;entrepreneur robert kiyosaki death threatened keeps exposing covid hoax vaccine danger depopulation agenda via;[];['entrepreneur', 'robert', 'kiyosaki', 'death', 'threatened', 'keeps', 'exposing', 'covid', 'hoax', 'vaccine', 'danger', 'depopulation', 'agenda', 'via']
21;940;#COVID<U+30FC>19 #CovidVaccine I am a hospital interpreter in a giant teaching hospital and have finally gotten an appointment for my first vaccine dose next week. I got PCR tested again Saturday and continue to remain vigilantly guarding my ngative status. I made plans to sleep 1.;0;covid u fc covidvaccine hospital interpreter giant teaching hospital finally gotten appointment first vaccine dose next week got pcr tested saturday continue remain vigilantly guarding ngative status made plans sleep;['#COVID<U+30FC>19', '#CovidVaccine'];['covid', 'u', 'fc', 'covidvaccine', 'hospital', 'interpreter', 'giant', 'teaching', 'hospital', 'finally', 'gotten', 'appointment', 'first', 'vaccine', 'dose', 'next', 'week', 'got', 'pcr', 'tested', 'saturday', 'continue', 'remain', 'vigilantly', 'guarding', 'ngative', 'status', 'made', 'plans', 'sleep']
22;1047;"#NoToVIPVaccination _x000D_
Before when the vaccines are not yet available, there’s little interest in getting vaccinated because of the unknown side-effects due to it being a “rushed vaccine”. People don’t like to be guinea pigs. Now, there’s this complaining. Gulo nyo!";0;notovipvaccination x vaccines yet available little interest getting vaccinated unknown side effects due rushed vaccine people like guinea pigs complaining gulo nyo;['#NoToVIPVaccination'];['notovipvaccination', 'x', 'vaccines', 'yet', 'available', 'little', 'interest', 'getting', 'vaccinated', 'unknown', 'side', 'effects', 'due', 'rushed', 'vaccine', 'people', 'like', 'guinea', 'pigs', 'complaining', 'gulo', 'nyo']
23;625;"Ringing in the new year early with a shot of #COVIDVaccine. Cheers! <U+0001F489><U+0001F942>_x000D_
_x000D_
Grateful for science, privileged to have early access to the vaccine, and hopeful for society. https://t.co/EHTW48cl1b";0;ringing new year early shot covidvaccine cheers u f u f x x grateful science privileged early access vaccine hopeful society;['#COVIDVaccine.'];['ringing', 'new', 'year', 'early', 'shot', 'covidvaccine', 'cheers', 'u', 'f', 'u', 'f', 'x', 'x', 'grateful', 'science', 'privileged', 'early', 'access', 'vaccine', 'hopeful', 'society']
24;626;I’m looking forward to getting the vaccine. I whined about wanting Botox and fillers last year for My birthday. However, I’m feeling a bit grateful those pleas fell on so many deaf ears. Lip wrinkles be damned, give Me the shot!;0;looking forward getting vaccine whined wanting botox fillers last year birthday however feeling bit grateful pleas fell many deaf ears lip wrinkles damned give shot;[];['looking', 'forward', 'getting', 'vaccine', 'whined', 'wanting', 'botox', 'fillers', 'last', 'year', 'birthday', 'however', 'feeling', 'bit', 'grateful', 'pleas', 'fell', 'many', 'deaf', 'ears', 'lip', 'wrinkles', 'damned', 'give', 'shot']
25;627;Anybody else feeling like an aging Christmas tree? Trying to be positive and festive but actually tired and dropping, one touch and the needles (aka tears) drop #christmas #COVID19 #nhs grateful we had a tree and Christmas and happy children. #vaccine #lightendoftunnel 2021 https://t.co/59vx7KpxrF;1;anybody else feeling like aging christmas tree trying positive festive actually tired dropping one touch needles aka tears drop christmas covid nhs grateful tree christmas happy children vaccine lightendoftunnel;['#christmas', '#COVID19', '#nhs', '#vaccine', '#lightendoftunnel'];['anybody', 'else', 'feeling', 'like', 'aging', 'christmas', 'tree', 'trying', 'positive', 'festive', 'actually', 'tired', 'dropping', 'one', 'touch', 'needles', 'aka', 'tears', 'drop', 'christmas', 'covid', 'nhs', 'grateful', 'tree', 'christmas', 'happy', 'children', 'vaccine', 'lightendoftunnel']
26;1194;"<U+0001F6A8> Here is an eye opener to those not so MK altered. #COVID19 #coronavirus #COVID<U+30FC>19 #depopulation #vaccine #vaccines_x000D_
https://t.co/t1G43f4oyS";1;u f eye opener mk altered covid coronavirus covid u fc depopulation vaccine vaccines x;['#COVID19', '#coronavirus', '#COVID<U+30FC>19', '#depopulation', '#vaccine', '#vaccines_x000D_'];['u', 'f', 'eye', 'opener', 'mk', 'altered', 'covid', 'coronavirus', 'covid', 'u', 'fc', 'depopulation', 'vaccine', 'vaccines', 'x']
27;629;#nycvaxchamp grateful to have received the Covid vaccine last night @NYCHealthSystem feeling great today;0;nycvaxchamp grateful received covid vaccine last night feeling great today;['#nycvaxchamp'];['nycvaxchamp', 'grateful', 'received', 'covid', 'vaccine', 'last', 'night', 'feeling', 'great', 'today']
28;630;"Same 6-person, family bubble since March. No travel. No restaurants. No theme parks or parks. Masked up everywhere we go, hand washing like mad. Tomorrow our most high-risk family member gets her first dose of the vaccine. I am so grateful &amp; can’t wait for my turn.";0;person family bubble since march travel restaurants theme parks parks masked everywhere go hand washing like mad tomorrow high risk family member gets first dose vaccine grateful amp wait turn;[];['person', 'family', 'bubble', 'since', 'march', 'travel', 'restaurants', 'theme', 'parks', 'parks', 'masked', 'everywhere', 'go', 'hand', 'washing', 'like', 'mad', 'tomorrow', 'high', 'risk', 'family', 'member', 'gets', 'first', 'dose', 'vaccine', 'grateful', 'amp', 'wait', 'turn']
29;1097;10K THB for an unlicensed, largely untested vaccine with an efficacy rate statistically below your own immune system? Are people unable to do basic maths? Have they gone completely mad to agree to this obvious price gouging? https://t.co/lBuQYmcArJ;0;k thb unlicensed largely untested vaccine efficacy rate statistically immune system people unable basic maths gone completely mad agree obvious price gouging;[];['k', 'thb', 'unlicensed', 'largely', 'untested', 'vaccine', 'efficacy', 'rate', 'statistically', 'immune', 'system', 'people', 'unable', 'basic', 'maths', 'gone', 'completely', 'mad', 'agree', 'obvious', 'price', 'gouging']
30;632;First vaccine jab today. Feel extremely grateful to @SECAmbulance and @MTWnhs for providing this to their frontline staff. We’re seeing so many covid patients it’s good to know the odds of catching it and passing it to family and patients are reduced. <U+0001F91E><U+0001F3FB><U+0001F64F><U+0001F3FC>;0;first vaccine jab today feel extremely grateful providing frontline staff seeing many covid patients good know odds catching passing family patients reduced u f e u f fb u f f u f fc;[];['first', 'vaccine', 'jab', 'today', 'feel', 'extremely', 'grateful', 'providing', 'frontline', 'staff', 'seeing', 'many', 'covid', 'patients', 'good', 'know', 'odds', 'catching', 'passing', 'family', 'patients', 'reduced', 'u', 'f', 'e', 'u', 'f', 'fb', 'u', 'f', 'f', 'u', 'f', 'fc']
31;683;"Alongside @EricaBraswellMD and several #NCHIRad colleagues, I was vaccinated for #COVID19 today. Grateful and hopeful. _x000D_
_x000D_
Keep those masks up, friends._x000D_
_x000D_
#FauciOuchie #covidvacccine #Moderna https://t.co/ioWUyz5KIK";0;alongside several nchirad colleagues vaccinated covid today grateful hopeful x x keep masks friends x x fauciouchie covidvacccine moderna;['#NCHIRad', '#COVID19', '#FauciOuchie', '#covidvacccine', '#Moderna'];['alongside', 'several', 'nchirad', 'colleagues', 'vaccinated', 'covid', 'today', 'grateful', 'hopeful', 'x', 'x', 'keep', 'masks', 'friends', 'x', 'x', 'fauciouchie', 'covidvacccine', 'moderna']
32;1136;Apparently the vaccine is Mr. Depopulation's dream come true.  Yesterday I read a scientific analysis how it causes the placenta to unattach in pregnancy midtem, unknown if that is lifetime.  1 of 2;1;apparently vaccine mr depopulation dream come true yesterday read scientific analysis causes placenta unattach pregnancy midtem unknown lifetime;[];['apparently', 'vaccine', 'mr', 'depopulation', 'dream', 'come', 'true', 'yesterday', 'read', 'scientific', 'analysis', 'causes', 'placenta', 'unattach', 'pregnancy', 'midtem', 'unknown', 'lifetime']
33;790;"Are the #COVID19 vaccines making people stupid by causing brain damage_x000D_
_x000D_
or_x000D_
_x000D_
were the people dumb enough to take a highly experimental glows-in-the-dark rDNA vaccine stupid to begin with?_x000D_
_x000D_
It's a bit hard to tell just by watching random vaccine victims I don't personally know.";1;covid vaccines making people stupid causing brain damage x x x x people dumb enough take highly experimental glows dark rdna vaccine stupid begin x x bit hard tell watching random vaccine victims personally know;['#COVID19'];['covid', 'vaccines', 'making', 'people', 'stupid', 'causing', 'brain', 'damage', 'x', 'x', 'x', 'x', 'people', 'dumb', 'enough', 'take', 'highly', 'experimental', 'glows', 'dark', 'rdna', 'vaccine', 'stupid', 'begin', 'x', 'x', 'bit', 'hard', 'tell', 'watching', 'random', 'vaccine', 'victims', 'personally', 'know']
34;636;The COVID vaccine is as valuable as Gretchen Weiner’s white gold hoops—and like her, most of us are too ungrateful to recognize the value;0;covid vaccine valuable gretchen weiner white gold hoops like us ungrateful recognize value;[];['covid', 'vaccine', 'valuable', 'gretchen', 'weiner', 'white', 'gold', 'hoops', 'like', 'us', 'ungrateful', 'recognize', 'value']
35;638;"As a lifestyle med doc, I preach @aclifemed Pillars:_x000D_
Eat plants<U+0001F33F> _x000D_
Keep moving<U+0001F3C3>_x000D_
Sleep well<U+0001F6CC>_x000D_
Be present<U+0001F64B>_x000D_
Stay calm<U+0001F9D8>_x000D_
Love people<U+0001F46A>_x000D_
I chose 2 take #covid19 #vaccine bcos I <U+2764><U+FE0F> &amp; care 4 my patients, friends, family &amp; community #believeinscience #grateful #emotional @deptvetaffairs https://t.co/pEPeYmd1lY";0;lifestyle med doc preach pillars x eat plants u f f x keep moving u f c x sleep well u f cc x present u f b x stay calm u f x love people u f x chose take covid vaccine bcos u u fe f amp care patients friends family amp community believeinscience grateful emotional;['#covid19', '#vaccine', '#believeinscience', '#grateful', '#emotional'];['lifestyle', 'med', 'doc', 'preach', 'pillars', 'x', 'eat', 'plants', 'u', 'f', 'f', 'x', 'keep', 'moving', 'u', 'f', 'c', 'x', 'sleep', 'well', 'u', 'f', 'cc', 'x', 'present', 'u', 'f', 'b', 'x', 'stay', 'calm', 'u', 'f', 'x', 'love', 'people', 'u', 'f', 'x', 'chose', 'take', 'covid', 'vaccine', 'bcos', 'u', 'u', 'fe', 'f', 'amp', 'care', 'patients', 'friends', 'family', 'amp', 'community', 'believeinscience', 'grateful', 'emotional']
36;1164;"As COVID-19 vaccinations in Maryland progress, Maryland Gov. Larry Hogan said: ""I'm pleased with where we are right now in our state."" https://t.co/UruGddZuTP";0;covid vaccinations maryland progress maryland gov larry hogan said pleased right state;[];['covid', 'vaccinations', 'maryland', 'progress', 'maryland', 'gov', 'larry', 'hogan', 'said', 'pleased', 'right', 'state']
37;765;As I’m very grateful the vaccine is being rolled out idk how it’s all gonna work, what happens during the phase where only some people have it? Half of the people? Most of the people? How will we know when it’s safe to not wear masks anymore? Like how will this all phase out;1;grateful vaccine rolled idk gonna work happens phase people half people people know safe wear masks anymore like phase;[];['grateful', 'vaccine', 'rolled', 'idk', 'gon', 'na', 'work', 'happens', 'phase', 'people', 'half', 'people', 'people', 'know', 'safe', 'wear', 'masks', 'anymore', 'like', 'phase']
38;640;Got my COVID vaccine today!!! I’m am so grateful! Couldn’t thank everybody working there enough. Get the vaccine everybody!!! https://t.co/3HQ0fN6sTf;0;got covid vaccine today grateful thank everybody working enough get vaccine everybody;[];['got', 'covid', 'vaccine', 'today', 'grateful', 'thank', 'everybody', 'working', 'enough', 'get', 'vaccine', 'everybody']
39;641;As one who just walked out of the room of a <U+0001F931><U+0001F3FD>patient with #covid19 PLEASE, I’m begging you, not to travel / party this #HolidaySeason I miss my friends and family so much it makes me tearful, but we can’t risk it. So grateful for my 1st vaccine dose<U+2728> https://t.co/C1Ovl0TM6g;0;one walked room u f u f fd patient covid please begging travel party holidayseason miss friends family much makes tearful risk grateful st vaccine dose u;['#covid19', '#HolidaySeason'];['one', 'walked', 'room', 'u', 'f', 'u', 'f', 'fd', 'patient', 'covid', 'please', 'begging', 'travel', 'party', 'holidayseason', 'miss', 'friends', 'family', 'much', 'makes', 'tearful', 'risk', 'grateful', 'st', 'vaccine', 'dose', 'u']
40;824;"At the very min something isn’t right with this rushed vaccine for a virus that’s highly survivable. They will make it to where u have NO freedoms unless u take their vaccine &amp; have a card to prove it. Meanwhile, we don’t have to have a voter ID card to influence an entire nation";0;min something right rushed vaccine virus highly survivable make u freedoms unless u take vaccine amp card prove meanwhile voter id card influence entire nation;[];['min', 'something', 'right', 'rushed', 'vaccine', 'virus', 'highly', 'survivable', 'make', 'u', 'freedoms', 'unless', 'u', 'take', 'vaccine', 'amp', 'card', 'prove', 'meanwhile', 'voter', 'id', 'card', 'influence', 'entire', 'nation']
41;643;I GOT MY COVID VACCINE <U+0001F489> I am extremely grateful to be able to get the vaccine before 2020 is over! I got it to protect my community, my friends, and family. The vaccine is completely safe and I hope you plan to get it too when available. In the meantime PLEASE STAY SAFE! <U+0001F637> https://t.co/B98hbwq2MN;0;got covid vaccine u f extremely grateful able get vaccine got protect community friends family vaccine completely safe hope plan get available meantime please stay safe u f;[];['got', 'covid', 'vaccine', 'u', 'f', 'extremely', 'grateful', 'able', 'get', 'vaccine', 'got', 'protect', 'community', 'friends', 'family', 'vaccine', 'completely', 'safe', 'hope', 'plan', 'get', 'available', 'meantime', 'please', 'stay', 'safe', 'u', 'f']
42;637;Beyond thrilled and grateful - received the Pfizer COVID-19 vaccine on of all days, the 18th anniversary of my heart attack. Giving back - going to be volunteering to vaccinate others at the KC Care Health Center, an amazing free health clinic right in t… https://t.co/7Si3ORyTba https://t.co/63vnnwH2zr;0;beyond thrilled grateful received pfizer covid vaccine days th anniversary heart attack giving back going volunteering vaccinate others kc care health center amazing free health clinic right;[];['beyond', 'thrilled', 'grateful', 'received', 'pfizer', 'covid', 'vaccine', 'days', 'th', 'anniversary', 'heart', 'attack', 'giving', 'back', 'going', 'volunteering', 'vaccinate', 'others', 'kc', 'care', 'health', 'center', 'amazing', 'free', 'health', 'clinic', 'right']
43;645;Got my first COVID vaccine today and felt an unfamiliar sense of hope I haven’t had in months. Was also incredibly impressed with how efficient, painless, and sanitary the process at @childrensatl was! Grateful to work at an amazing organization <U+0001F637><U+0001F4AA><U+0001F3FC>;0;got first covid vaccine today felt unfamiliar sense hope months also incredibly impressed efficient painless sanitary process grateful work amazing organization u f u f aa u f fc;[];['got', 'first', 'covid', 'vaccine', 'today', 'felt', 'unfamiliar', 'sense', 'hope', 'months', 'also', 'incredibly', 'impressed', 'efficient', 'painless', 'sanitary', 'process', 'grateful', 'work', 'amazing', 'organization', 'u', 'f', 'u', 'f', 'aa', 'u', 'f', 'fc']
44;1101;"Biggest fraud is calling an experimental mRNA therapy a vaccine._x000D_
_x000D_
Definition of vaccine: organisms administered to produce or artificially increase immunity to a particular disease._x000D_
_x000D_
Modified messenger RNA from a virus fools cells to produce proteins from assumed virus. #Fake";0;biggest fraud calling experimental mrna therapy vaccine x x definition vaccine organisms administered produce artificially increase immunity particular disease x x modified messenger rna virus fools cells produce proteins assumed virus fake;['#Fake'];['biggest', 'fraud', 'calling', 'experimental', 'mrna', 'therapy', 'vaccine', 'x', 'x', 'definition', 'vaccine', 'organisms', 'administered', 'produce', 'artificially', 'increase', 'immunity', 'particular', 'disease', 'x', 'x', 'modified', 'messenger', 'rna', 'virus', 'fools', 'cells', 'produce', 'proteins', 'assumed', 'virus', 'fake']
45;647;Taking the vaccine is a female trait;1;taking vaccine female trait;[];['taking', 'vaccine', 'female', 'trait']
46;1059;"Billionaire Bill Gates, a leading proponent and financier for vaccines, is an open advocate and strong supporter of depopulation_x000D_
https://t.co/fIOoRh4EzK https://t.co/flGf5H8Zr6";1;billionaire bill gates leading proponent financier vaccines open advocate strong supporter depopulation x;[];['billionaire', 'bill', 'gates', 'leading', 'proponent', 'financier', 'vaccines', 'open', 'advocate', 'strong', 'supporter', 'depopulation', 'x']
